name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 8908,,351.7800,-66.5811,,6.45,,STAR K4III,1.47,,1.77,,220759,8908,,,,255486
HR 1960,,84.2279,-66.5603,,6.31,,STAR B9V,-0.07,,-0.15,,37935,1960,,,,249322
HR 4814,,189.9817,-66.5117,,6.26,,STAR B8V,-0.05,,-0.20,,110020,4814,,,,251987
HR 722,,36.3596,-66.4947,,6.41,,STAR M5III,1.54,,1.46,,15379,722,,,,248556
HR 1092,,52.7150,-66.4897,,5.83,,STAR B8V,-0.06,,-0.33,,22252,1092,,,,248825
HR 380,,19.2650,-66.3981,,6.24,W,STAR A0V,0.05,,-0.02,,7916,380,D,0.0100,,248350
HR 3615,Alp Vol,135.6117,-66.3961,,4.00,,STAR A2IV,0.14,,0.13,,78045,3615,,0.0510,,250422
HR 4025,,153.3775,-66.3731,,5.16,,STAR A0,0.21,,0.18,,88981,4025,,0.0120,,250880
HR 7663,,302.0854,-66.3547,,6.45,,STAR K5III,1.58,,1.98,,190222,7663,,,,254731
HR 5771,Eps TrA,234.1800,-66.3169,,4.11,W,STAR K1III,1.17,,1.16,,138538,5771,,0.0380,E,253226
HR 5253,,210.2175,-66.2686,,5.97,W,STAR F2III,0.35,,0.07,,121932,5253,,,,252554
HR 4977,,198.2038,-66.2269,,5.90,,STAR A0V,0.06,,0.04,,114570,4977,,,,252196
HR 7913,Bet Pav,311.2396,-66.2031,,3.42,,STAR A7III,0.16,,0.12,,197051,7913,,0.0350,,254862
HR 3081,,117.4208,-66.1958,,5.79,,STAR B9V,-0.04,,-0.16,,64484,3081,,,,249978
HR 7665,Del Pav,302.1817,-66.1819,,3.56,,STAR G6IV,0.76,,0.45,,190248,7665,,0.1700,,254733
HR 5382,,216.4146,-66.1733,,6.36,,STAR A3V,0.13,,0.06,,125990,5382,,,,252737
HR 3347,Bet Vol,126.4342,-66.1369,,3.77,,STAR K1III,1.13,,1.14,,71878,3347,,0.0420,,250228
HR 3036,,116.1829,-66.0719,,6.38,,STAR G6III,0.95,,0.66,,63513,3036,,,,249944
HR 600,,29.9212,-66.0664,,6.10,,STAR K1III,1.17,,1.21,,12477,600,,,,248476
HR 2194,Eta1Dor,91.5392,-66.0397,,5.71,,STAR A0V,-0.03,,-0.07,,42525,2194,,,,249448
HR 5539,Zet Cir,223.6767,-65.9914,,6.09,,STAR B3V,-0.06,,-0.60,,131058,5539,,,,252951
HR 7455,,295.4062,-65.8542,,6.09,,STAR M0III,1.55,,1.96,,184996,7455,,,,254627
HR 4692,,185.1167,-65.8428,,6.21,,STAR B9V,-0.04,,-0.15,,107301,4692,,,,251854
HR 3495,,131.1250,-65.8256,,6.05,,STAR A4V,0.20,,0.08,,75171,3495,,,,250317
HR 5391,,216.7796,-65.8217,,5.85,,STAR K3III,1.50,,1.76,,126241,5391,,,,252745
HR 3995,,152.1775,-65.8153,,5.28,W,STAR K0III,0.98,,0.75,,88323,3995,,-0.0140,,250836
HR 5242,,209.6300,-65.8006,,6.20,W,STAR K0III,1.05,,0.81,,121557,5242,,,,252534
HR 4720,,186.3221,-65.7706,,6.30,,STAR G8IV,0.96,,0.74,,108054,4720,,,,251893
HR 1104,,53.6029,-65.7644,,6.75,,STAR A3V,0.17,,0.15,,22634,1104,,,,248842
HR 2015,Del Dor,86.1933,-65.7356,,4.35,,STAR A7V,0.21,,0.12,,39014,2015,,0.0270,,249346
