star_name,star_constellation,star_other_name
HD 161892,Scorpius,"G-Sco, HR 6630, HIP 87261, TYC 7389-2159-1"
HD 202109,Cygnus,"ζ-Cyg, 64-Cyg, HR 8115, HIP 104732, TYC 2702-2764-1"
HD 222404,Cepheus,"Errai, γ-Cep, 35-Cep, HR 8974, NSV 14656, HIP 116727, TYC 4606-3584-1"
HD 18622,Eridanus,"Acamar, θ¹-Eri, HR 897, NSV 1002, HIP 13847, TYC 7563-1016-1, Gaia EDR3- 5044368071870093312"
HD 176437,Lyra,"Sulafat, γ-Lyr, 14-Lyr, HR 7178, NSV 11624, HIP 93194, TYC 2643-3346-1, Gaia EDR3- 2043823929421342848"
HD 205021,Cepheus,"Alfirk, β-Cep, 8-Cep, HR 8238, HIP 106032, TYC 4465-2643-1, Gaia EDR3- 2272185759996420992"
HD 168723,Serpens Cauda,"η-Ser, 58-Ser, HR 6869, NSV 10675, HIP 89962, TYC 5102-416-1, Gaia EDR3- 4269932382607207040"
HD 50241,Pictor,"α-Pic, HR 2550, HIP 32607, TYC 8899-2202-1"
HD 146791,Ophiuchus,"Yed Posterior, ε-Oph, 2-Oph, HR 6075, HIP 79882, TYC 5042-999-1, Gaia EDR3- 4356298849169862784"
HD 123123,Hydra,"π-Hya, 49-Hya, HR 5287, HIP 68895, TYC 6738-1381-1, Gaia EDR3- 6270558110774003968"
